incident_id,timestamp,day_of_week,hour_of_day,attack_type,severity,system_targeted,department_affected,response_time_hrs,systems_affected,data_loss_occurred,outcome
INC0001,2025-09-09 20:00,1,20,Brute Force,High,Database,IT,2.6,4,0,Contained
INC0002,2025-03-17 22:00,0,22,Man-in-the-Middle,Medium,Database,Engineering,1.5,1,0,
INC0003,2025-11-10 16:00,0,16,DDoS,Low,Network Infrastructure,IT,12.8,1,0,Resolved
INC0004,2025-04-28 05:00,0,5,SQL Injection,Medium,Authentication System,Finance,5.7,2,0,Escalated
INC0005,2025-04-16 13:00,2,13,Insider Threat,High,Database,HR,1.9,1,1,Resolved
INC0006,2025-08-28 02:00,3,2,Phishing,Medium,Authentication System,Legal,11.7,1,0,Contained
INC0007,2025-09-10 02:00,2,2,Ransomware,High,Endpoint,Legal,3.6,1,1,Resolved
INC0008,2025-10-13 20:00,0,20,Insider Threat,High,Web Server,Research,3.6,2,1,Resolved
INC0009,2025-05-13 18:00,1,18,DDoS,Critical,Endpoint,Operations,0.9,3,0,Resolved
INC0010,2025-03-30 05:00,6,5,DDoS,Low,Endpoint,Legal,10.8,2,0,Resolved
INC0011,2025-12-24 05:00,2,5,DDoS,Critical,Email Server,HR,2.2,5,0,Escalated
INC0012,2025-02-03 22:00,0,22,Brute Force,Low,Database,Research,,1,0,Resolved
INC0013,2025-10-05 12:00,6,12,Phishing,High,Database,IT,2.5,1,0,Escalated
INC0014,2025-02-23 06:00,6,6,Insider Threat,High,Email Server,Engineering,3.8,2,1,Contained
INC0015,2025-03-18 21:00,1,21,Insider Threat,High,Network Infrastructure,Research,3.1,4,0,Resolved
INC0016,2025-09-03 02:00,2,2,Brute Force,Low,Network Infrastructure,Finance,8.0,2,0,Contained
INC0017,2025-07-17 21:00,3,21,SQL Injection,High,Authentication System,HR,1.1,1,0,Ongoing
INC0018,2025-10-03 02:00,4,2,Man-in-the-Middle,Critical,Web Server,Legal,0.9,4,0,Data Breach
INC0019,2025-08-13 16:00,2,16,Phishing,Medium,Authentication System,Research,4.2,2,0,Resolved
INC0020,2025-07-19 21:00,5,21,DDoS,Low,Network Infrastructure,Finance,14.1,1,0,Ongoing
INC0021,2025-02-26 21:00,2,21,Phishing,Critical,Web Server,IT,2.4,2,0,Contained
INC0022,2025-11-02 12:00,6,12,Man-in-the-Middle,Medium,Endpoint,IT,5.5,2,0,Resolved
INC0023,2025-08-09 18:00,5,18,SQL Injection,Medium,Cloud Storage,,6.7,2,0,Contained
